,Nom,Né le
13426,Simon de Coiffier de Moret,30 mai 1764
13427,André Dumont,24 mai 1764
13428,"Jean-Baptiste, Marie Girod",21 mai 1764
13429,Claude Basire,15 mai 1764
13430,"Joseph, François Froment",11 mai 1764
13431,Claude Lamy,7 mai 1764
13432,"François, Marie, Pierre Roullet de la Bouillerie",27 avril 1764
13433,"Isaac, Etienne Peyrot",27 avril 1764
13434,"Claude, Charles Estivant",26 avril 1764
13435,Jacques Crevelier,25 avril 1764
13436,Ignace Rougemont,25 avril 1764
13437,Joseph Barbier de Landrevie,22 avril 1764
13438,"Claude, Antoine, Augustin Blad",20 avril 1764
13439,"Louis, Charles, François Labbé",18 avril 1764
13440,"Charles, Joseph, Emmanuel Van Hulthem",17 avril 1764
13441,"Guillaume, Henri Vergniaud",15 avril 1764
13442,Firmin Didot,14 avril 1764
13443,"Thomas, Antoine, Jean Maussion",13 avril 1764
13444,"Barthélemy, Thomas Strafforello",12 avril 1764
13445,"Antoine, Philippe, Joseph Demoor",4 avril 1764
13446,Jean-Louis Denisart,3 avril 1764
13447,Louis Texier-Olivier,3 avril 1764
13448,"Joseph, Marie, Jacques Blin",31 mars 1764
13449,"Claude, Marie, Joseph Jannot de Moncey",30 mars 1764
13450,"Joseph, Charles, Auguste de Perrien",27 mars 1764
13451,"Etienne, Théodore Clairon",23 mars 1764
13452,"Gaspard, Pierre, Joseph, Charles, Marie Boidi d'Ardizzoni",22 mars 1764
13453,"François, Louis, Nicolas de Bausset",22 mars 1764
13454,Charles Fabroni,19 mars 1764
13455,Augustin Duclaux,18 mars 1764
13456,"Jean, Nicolas, Alexandre Panichot",18 mars 1764
13457,"Charles, Henri, Armand Julien",18 mars 1764
13458,"Pierre, Marie Desmarest",11 mars 1764
13459,"Alexandre, César de La Panouse",11 mars 1764
13460,Nicolas Poirriez,10 mars 1764
13461,"Charles, André Pozzo Di Borgo",8 mars 1764
13462,Antoine Roy,5 mars 1764
13463,"Hyacinthe, Adrien, Guillaume Chapuy",2 mars 1764
13464,"Pierre, Jean-Baptiste Beaugeard",18 février 1764
13465,"Jean, Conrad Hottinguer",15 février 1764
13466,"Claude, François Bastian",13 février 1764
13467,"Carel, Henryk Verhuell de Sevenaar",11 février 1764
13468,"Antoine, François Delpierre",3 février 1764
13469,Jean-Jacques Burot de Carcouët,2 février 1764
13470,"Victor, Marie, Bonaventure Guépin",30 janvier 1764
13471,"Robert, François Crachet",19 janvier 1764
13472,"Jacques, Paul, Fronton Duplantier",10 janvier 1764
13473,"Jean, Gaspard, Julien de Godailh",6 janvier 1764
13474,"Pierre, Georges, Marie de Nully d'Hécourt",5 janvier 1764
13475,"Louis, Denis Péan de Saint-Gilles",2 janvier 1764
13476,"Guy, Marie Sallier-Chaumont de la Roche",31 décembre 1763
13477,"Joseph, Marie, Ferdinand Dal Pozzo",30 décembre 1763
13478,"Aimé, François, Emmanuel d'Orceau de Fontette",25 décembre 1763
13479,"Claude, Antoine Prieur-Duvernois dit Prieur de la Côte-d'Or",22 décembre 1763
13480,"Jean-Baptiste, Antoine Otard de la Grange",12 décembre 1763
13481,"Charles, Jean Cesbron-Lavau",11 décembre 1763
13482,Jean Soulhié,9 décembre 1763
13483,"Pierre, Dieudonné Beaudel",2 décembre 1763
13484,Jean-Baptiste Digaultray,23 novembre 1763
13485,"Louis, Antoine, Innocent Revoire",20 novembre 1763
13486,Pierre Gerla,17 novembre 1763
13487,"Hector, François Préveraud de Laboutresse",16 novembre 1763
13488,"Paul, François, Benoît Bontoux",15 novembre 1763
13489,"Jacques, François, Alexis Got",14 novembre 1763
13490,"Pierre, Jean Lebouhelec",14 novembre 1763
13491,"Henri, Félix de Pélissier",8 novembre 1763
13492,"Augustin, Marie, Etienne de Prunelé",5 novembre 1763
13493,"Charles, Antoine, André, Marie Gailhard",5 novembre 1763
13494,Charles Duprat,5 novembre 1763
13495,"Louis, Daniel Champy",1er novembre 1763
13496,"Georges, Simon Guégot de Traoulen",27 octobre 1763
13497,"Joseph, Pierre, Henri Dupertuis",24 octobre 1763
13498,Louis Guillaume Ternaux,7 octobre 1763
13499,"André, Jacques, Auguste Du Pille",7 octobre 1763
13500,Jacques Souberbielle,5 octobre 1763
13501,"François, Placide Ferrand",4 octobre 1763
13502,"Jean-Baptiste, Charles Mathieu-Mirampal",3 octobre 1763
13503,Jean-Pierre Bruyas,24 septembre 1763
13504,Jérôme Guillard,19 septembre 1763
13505,"Joseph, Maurice Costa",14 septembre 1763
13506,Jean Piet-Tardiveau,11 septembre 1763
13507,Antoine Casenave,9 septembre 1763
13508,Noël Bouquelon,6 septembre 1763
13509,"Jean, Georges, Othon, Martin, Victorin, Zenturie Wilmar",5 septembre 1763
13510,Etienne Crignon-Bonvallet,28 août 1763
13511,"Pierre, François, Augustin Vallier",27 août 1763
13512,"René, Marie Jollivet",26 août 1763
13513,Camille Rigoult,15 août 1763
13514,"François, Joseph Febvre",8 août 1763
13515,Barthélemy Jouvent,7 août 1763
13516,"Nicolas, Félix Desportes",5 août 1763
13517,Albert Scotti,2 août 1763
13518,"Antoine, François, Philippe Dubois Descours de La Maisonfort",30 juillet 1763
13519,Guillaume Le Gorrec,27 juillet 1763
13520,"Henri, Paul, Irénée Reboul",21 juillet 1763
13521,Eléonore Jean d'Hardivilliers,13 juillet 1763
13522,"Pierre, Sébastien Boulay-Paty",9 juillet 1763
13523,"Antoine, Alexandre, Marie, François de Canouville",8 juillet 1763
13524,"Antoine, Stanislas, Nicolas, Pierre, Fourier Jankovicz de Jeszenicze",7 juillet 1763
13525,Ollivier Rupérou,25 juin 1763
13526,"Pierre, Paul Royer-Collard",21 juin 1763
13527,Jean-Baptiste Dalesme,20 juin 1763
13528,Damien Battant de Pommerol,19 juin 1763
13529,"Guillaume, Joseph Guilbert",18 juin 1763
13530,Jean-Jacques Dumaire,11 juin 1763
13531,"Jean-Baptiste, Louis Froc de la Boulaye",8 juin 1763
13532,"Etienne, Thomas Déan",5 juin 1763
13533,Pierre Bourbotte,5 juin 1763
13534,"Joseph, François Beyts",17 mai 1763
13535,"Pierre, Auguste Adet",17 mai 1763
13536,"Baptiste, Nicolas, Louis Vauquelin de la Rivière",16 mai 1763
13537,"Claude, Joseph Bruat",16 mai 1763
13538,"Paul, Marie, Céleste d'Andigné de la Blanchaye",5 mai 1763
13539,"Jean, Félix, Samuel Larroche",2 mai 1763
13540,"Charles, Laurent, Joseph, Marie Planelli de la Valette",29 avril 1763
13541,Jean-Louis Albitte le Jeune,25 avril 1763
13542,"Auguste, François Angot",25 avril 1763
13543,"Louis, Antoine, Maximilien Bricout de Cantraine",22 avril 1763
13544,"François, Jean, Frédéric Durbach",15 avril 1763
13545,François Lagarde,13 avril 1763
13546,Louis-Gabriel-Auguste Andigné de Mayneuf,12 avril 1763
13547,"Jean, Elizabeth Laurans",2 avril 1763
13548,Pierre Lucas,1er avril 1763
13549,"Pierre, Charles, Polycarpe Pottofeux",28 mars 1763
13550,"Antoine, Joseph Dariste",19 mars 1763
13551,Martin de Vignolle,18 mars 1763
13552,"Léger, Félicité Sonthonax",17 mars 1763
13553,Georges Bergasse de Laziroules,14 mars 1763
13554,"Pierre, Arnaud Dartigoeyte",12 mars 1763
13555,"Bertrand, Pierre, Dominique Fornier de Saint-Lary",11 mars 1763
13556,"Jean, Victor Tesnière-Bresménil",8 mars 1763
13557,"Georges, Charles, Frédéric, Ferdinand Popp",26 février 1763
13558,Jean-François Blanchon,26 février 1763
13559,"Jean-Baptiste, Alexandre, Marie Somis",26 février 1763
13560,Pierre Génébrias de Gouttepagnon,25 février 1763
13561,"Mathieu, Claude Guezno de Botsey",17 février 1763
13562,Didier Thirion,17 février 1763
13563,"Antoine, Joseph Lemarchant de Gomicourt",13 février 1763
13564,"Pierre, Béranger de Nattes",11 février 1763
13565,François Fleury,7 février 1763
13566,Pascal Cordara-Antona,7 février 1763
13567,"Salomon, Lazare Johanet",2 février 1763
13568,"Jacques, François Izos",29 janvier 1763
13569,"Marie, Philippe, Onuphre, Désiré, Louis Leroux du Chatelet",26 janvier 1763
13570,"Marc, David Alba Dit Lasource",22 janvier 1763
13571,"Augustin, Bon, Joseph de Robespierre",21 janvier 1763
13572,"Pierre, François, Joseph Robert",21 janvier 1763
13573,"Jean, Guillaume Taillefer",20 janvier 1763
13574,"Isidore, Joseph, Fabien, Brignoles Gauthier",20 janvier 1763
13575,"Jacques, Henri Laurenceot",18 janvier 1763
13576,"François, Gabriel, Thibault de Labrousse de Verteillac",17 janvier 1763
13577,Jean Baudry,13 janvier 1763
13578,"Charles, Simon Soullier",13 janvier 1763
13579,"Claude, Ferdinand Bobillier",11 janvier 1763
13580,Joseph de Lagrange,10 janvier 1763
13581,Jean-Baptiste Drouet,8 janvier 1763
13582,"Claude, Julien Maras",7 janvier 1763
13583,"Gaspard, Augustin Barbier",6 janvier 1763
13584,"Jean, François, Gaspard Fornier de Clauselles",5 janvier 1763
13585,Jean-Louis Thomas,4 janvier 1763
13586,"Annibal, Charles, Louis de Farcy",31 décembre 1762
13587,"François, Claude, Benoît Richond",28 décembre 1762
13588,"Emmanuel, Jules, Nicolas de Calvière",25 décembre 1762
13589,Jean-Baptiste Rougier la Bergerie,21 décembre 1762
13590,"Pierre, François, Winocq de Hau de Staplande",17 décembre 1762
13591,"André, François Laurence-Villedieu",17 décembre 1762
13592,"Jean, Joseph Serre",15 décembre 1762
13593,"Jacques, Charles Bailleul",12 décembre 1762
13594,"Charles, Dominique Bernard",2 décembre 1762
13595,"Jean, Gilles, Joseph Gerbaud",1er décembre 1762
13596,Jacques Arpin,30 novembre 1762
13597,"Antoine, François Bourdeau-Desmaret de Fontenay",29 novembre 1762
13598,Abraham Gevers,29 novembre 1762
13599,"François, Joseph Henrys",29 novembre 1762
13600,"Ignace, Urbain, Jean Chappe",26 novembre 1762
13601,"Charles, Rolland Néel de la Vigne",18 novembre 1762
13602,"Louis, Jacques, Guillaume Barthe-Labastide",17 novembre 1762
13603,Jean Barthélemot de Sorbier,17 novembre 1762
13604,"Joseph, Marie, Philippe Martinel de Visan",14 novembre 1762
13605,Joseph Dupoy de Guitard,10 novembre 1762
13606,"Louis, Henri, René Dequin",8 novembre 1762
13607,"Gabriel, Joseph Laur",5 novembre 1762
13608,Louis Joubert,3 novembre 1762
13609,"Jean-Baptiste, Barnabé, Marie, Victoire, Clément Delong",2 novembre 1762
13610,"Jacques, Jean Bouget",1er novembre 1762
13611,"Charles, Louis, Joseph de Fregeville de Gau",1er novembre 1762
13612,"Louis, Pierre, Nicolas, Marie Lepage de Lingerville",28 octobre 1762
13613,"François, Marie, Alexandre Labrouste",26 octobre 1762
13614,André Briche,25 octobre 1762
13615,"Jean, Louis, Félicité de Bruyères-Chalabre",24 octobre 1762
13616,"Félicien, Camille, Joseph, Nicolas Scarpellini",20 octobre 1762
13617,"Antoine, Joseph Guitard",20 octobre 1762
13618,"Pierre, Marie, Jean-Baptiste Flaust",19 octobre 1762
13619,Jean-François Gantois,15 octobre 1762
13620,Pierre Durand du Repaire,8 octobre 1762
13621,"Joseph, Marie, Placide, Laurent Galleani d'Agliano",5 octobre 1762
13622,"Honoré, Antoine Bucelle",22 septembre 1762
13623,Jean-Baptiste Perret,20 septembre 1762
13624,"Nicolas, Marie Quinette de Rochemont",16 septembre 1762
13625,"David, Charles, Henry Cunier",14 septembre 1762
13626,"Antoine, Christophe Merlin de Thionville",13 septembre 1762
13627,Melchior Bézave de Mazières,9 septembre 1762
13628,"Blaise, François, Aldegonde de Jouvencel",9 septembre 1762
13629,Jacques Taurin de Lormand,4 septembre 1762
13630,"Michel, Pierre, Dorothée Clerc",1er septembre 1762
13631,"Marie, Jean, André, Hyacinthe Lesage d'Hauteroche",14 août 1762
13632,Jean Boucherie de Migon,12 août 1762
13633,"Claude, Dominique, Cosme Fabre",10 août 1762
13634,"Laurent, François, Nicolas Lemotheux-d'Audier",9 août 1762
13635,"Bernard, Jean, Maurice Duport",7 août 1762
13636,"Joseph, Marie, Prudent Lucas de Bourgerel",4 août 1762
13637,"Louis, Urbain Bruë",4 août 1762
13638,"Jean-Baptiste, Dominique Catoire-Moulainville",4 août 1762
13639,"Jean, Joseph, François, Alexandre Barrillon",1er août 1762
13640,"Laurent, Marc, Antoine Du Lyon de Campet",26 juillet 1762
13641,"Jean, Félix, Augustin Salvage",15 juillet 1762
13642,Joseph Lakanal,14 juillet 1762
13643,"Pierre, Gabriel Béguin",13 juillet 1762
13644,Jacques Gillon,12 juillet 1762
13645,Charles de Biancour,11 juillet 1762
13646,"Pierre, Albert, Joseph Auverlot",8 juillet 1762
13647,"Claude, Hyacinthe Blaudin-Valière",7 juillet 1762
13648,"Joseph, Marie, Colombe, Raymond, Henri, Denis de Fourquevaux",2 juillet 1762
13649,"Adolphe, Otto de Grotte",1er juillet 1762
13650,"Pierre, Marie, Louis Lemarcis",1er juillet 1762
13651,"Pierre, Barthélemy, Joseph Nogaret",28 juin 1762
13652,"François, Antoine, Joseph Ollivier",27 juin 1762
13653,Jean-Baptiste Soulignac-Saint-Rome,23 juin 1762
13654,"Eugène, Alexandre, Nicolas Deforest de Quartdeville",22 juin 1762
13655,Victor Avoyne de Chantereyne,22 juin 1762
13656,"Louis, Oudard Dixmude de Montbrun",30 mai 1762
13657,Caprais de Grossolles-Flamarens,26 mai 1762
13658,"François, Marie Japhet",23 mai 1762
13659,"Joseph, Marie, Jean Jouye de Grandmaison",16 mai 1762
13660,Jean-François Defermon des Chapelières,6 mai 1762
13661,Jean Béchade-Casaux,5 mai 1762
13662,"Philbert, Louis, Alexandre de Tascher",3 mai 1762
13663,Jean-Baptiste Jourdan,29 avril 1762
13664,Jean-François Germain,29 avril 1762
13665,"Louis, François, Denis Calmelet-Daen",22 avril 1762
13666,Louis Leroy de la Potherie,22 avril 1762
13667,"Léonard, Antoine, Balthazar Trajetto",17 avril 1762
13668,"Jean, François, Michel, Ange Rignon",14 avril 1762
13669,Jean-Claude Charlemagne,12 avril 1762
13670,"Jacques, Marie Dumaz",9 avril 1762
13671,"Jacques, Denis Laporte",8 avril 1762
13672,"Guillaume, Jean Favard de Langlade",4 avril 1762
13673,François de Pinteville de Cernon,2 avril 1762
13674,"René, Augustin Lair-Lamotte",1er avril 1762
13675,"Jean-Baptiste, Xavier, Joseph, Ghislain Wasseige",21 mars 1762
13676,"Pierre, Charles, François Hubert",21 mars 1762
13677,"Augustin, Jacques Leyris",19 mars 1762
13678,Ambroise Montpellier,12 mars 1762
13679,"Olivier, Joseph, Henri, René Serclot des Guyonnières",12 mars 1762
13680,Pierre Wautelée,9 mars 1762
13681,"Claude, Pierre, Joseph Leborgne de Boigne",8 mars 1762
13682,"Pierre, Joseph Delaville",4 mars 1762
13683,Jean-Baptiste Cavaignac,23 février 1762
13684,Jean-Pierre Basterrêche,19 février 1762
13685,"Pierre, Anselme Garrau",19 février 1762
13686,"Jean, Jérôme Buvée de Mirebeau",13 février 1762
13687,"Jean, Joseph Benoid",10 février 1762
13688,Jean-Pierre Mangin,9 février 1762
13689,"Luce, Quirico de Casabianca",7 février 1762
13690,Jean Valéry,4 février 1762
13691,Pierre Chollet-Beaufort,31 janvier 1762
13692,"Pierre, François, Nicolas Plet-Beauprey",28 janvier 1762
13693,Jean-Baptiste Thénard-Dumousseau,24 janvier 1762
13694,"Joseph, Antoine Capalti",24 janvier 1762
13695,"Jean-Baptiste, Toussaint Lambry",21 janvier 1762
13696,"Cécile, Stanislas, Xavier, Louis de Girardin",20 janvier 1762
13697,Claude de Fournas,20 janvier 1762
13698,"Charles, Bazile Mercier-Vergerie",18 janvier 1762
13699,Bazile Dauzat,17 janvier 1762
13700,"Pierre, Edouard Lemontey",14 janvier 1762
13701,"Louis, Claude, Daniel Rojou",12 janvier 1762
13702,"Raymond, François, Abraham Noubel",11 janvier 1762
13703,"Nicolas, Jean, Sébastien Faisant",9 janvier 1762
13704,"Guillaume, Auguste Jaubert",9 janvier 1762
13705,"Antoine, Louis Albitte l'Aîné",30 décembre 1761
13706,Jean-Baptiste Capblat,29 décembre 1761
13707,"Pierre, Joseph Bédoch",28 décembre 1761
13708,"Daniel, Jacques, Jean, David Brière",24 décembre 1761
13709,"Pierre, Théodore, Noël Dupeyrat",22 décembre 1761
13710,"Philippe, Gaétan Mathieu-Faviers",11 décembre 1761
13711,"Pierre, François, Joachim Henry-Larivière",6 décembre 1761
13712,Guillaume Tartas-Conques,3 décembre 1761
13713,"Thomas, François, Ambroise Jouenne-Longchamp",30 novembre 1761
13714,Pierre Choudieu,26 novembre 1761
13715,"Gaspard, Marie Duboys",20 novembre 1761
13716,"Philippe, François Desrues",20 novembre 1761
13717,"Jean-Charles, Léopold Henrys-Marcilly",15 novembre 1761
13718,"Claude, Antoine Vouty de la Tour",8 novembre 1761
13719,"Antoine, Elie Peyrusset de la Rochette",8 novembre 1761
13720,"Pierre, Louis Pinel",7 novembre 1761
13721,Pierre Regnée,2 novembre 1761
13722,"André, Toussaint Marquezy",31 octobre 1761
13723,"Antoine, Nicolas, François Dubois de Riocour",25 octobre 1761
13724,Jean-François Guyès,25 octobre 1761
13725,"Jean-Charles, Antoine Quartara",23 octobre 1761
13726,"Joseph, Jean de Kersmaker",21 octobre 1761
13727,Etienne Boudet,19 octobre 1761
13728,"Charles, Antoine Dujardin",18 octobre 1761
13729,Jean-Pierre Pouget,5 octobre 1761
13730,"Jean-Baptiste, Winant Digneffe",3 octobre 1761
13731,"Raymond, Eléonore, Marc, Jean-Baptiste, Félix, Fortunat, Achille, Gabriel Duperreau",1er octobre 1761
13732,Pierre Dulac,26 septembre 1761
13733,"Jean-François, Honoré Merlet",25 septembre 1761
13734,Antoine Bertier,24 septembre 1761
13735,Jean-Baptiste Bara,21 septembre 1761
13736,"Nicolas, François Bellart",20 septembre 1761
13737,Louis Turreau de Linières,18 septembre 1761
13738,"François, Just, Marie Raynouard",18 septembre 1761
13739,"Joseph, Etienne Richard",18 septembre 1761
13740,"Charles, Bernardin Chirat",7 septembre 1761
13741,"Louis, Michel Rigaud de l'Isle",4 septembre 1761
13742,Antoine Bayet,1er septembre 1761
13743,"Jean, Antoine, Joseph Fauchet",31 août 1761
13744,"François, Alpinien, Blaise Domingon-Bronsac",27 août 1761
13745,Joseph Beauchamp,26 août 1761
13746,Jean-François Vezin,23 août 1761
13747,"Joseph, Antoine, Dominique, Félix, Marie Poggi",20 août 1761
13748,"Nicolas, François Boreau-Lajanadie",19 août 1761
13749,"Pierre, Claude, François Daunou",18 août 1761
13750,"Marc, Antoine Laumond",14 août 1761
13751,Jean-Marie de Gourlay,13 août 1761
13752,"Jean-Baptiste, Antoine, Marie Malibran",8 août 1761
13753,Henri Saint-Pierre-Lespéret,3 août 1761
13754,"Jacques, Claude Beugnot",25 juillet 1761
13755,"François, Joseph, Henri Girard",23 juillet 1761
13756,"Jérôme, François, Lucien Serra",22 juillet 1761
13757,Jean Charles Danse-Renault,17 juillet 1761
13758,"Eugène, Joseph, Marie, Guislain Goubau",10 juillet 1761
13759,"Joseph, Nicolas Barbeau du Barran",3 juillet 1761
13760,"Jean-Baptiste, Bernard Arnoul",1er juillet 1761
13761,"Michel, Jean-Baptiste, Jacques Aroux",24 juin 1761
13762,"Antoine, Nicolas Ludot",20 juin 1761
13763,"Louis, Gaspard, Basile Agnel",14 juin 1761
13764,"François, Robert Houdouart",6 juin 1761
13765,"Jérôme, Annibal, Joseph Reynaud de Bologne de Lascours",5 juin 1761
13766,"François, Germain Pouhaër",29 mai 1761
13767,Claude Gleizal,29 mai 1761
13768,"Jean-Baptiste, Augustin Daigremont de Manvieu",29 mai 1761
13769,"Jean, Henri Rouchon de Bellidentes",22 mai 1761
13770,"Thomas, François Tillionbois de Valleuil",12 mai 1761
13771,"Philippe, Joseph Pollart",12 mai 1761
13772,"Antoine, Augustin Auger",8 mai 1761
13773,Jacques Frémanger,7 mai 1761
13774,Joseph Desaux,27 avril 1761
13775,Jean-Baptiste Chamborre,20 avril 1761
13776,"François, Joseph Baumlin",18 avril 1761
13777,"Gaspard, Célestin, Joseph Dupré",18 avril 1761
13778,Jean-Baptiste Frarin,17 avril 1761
13779,"Paul, Joseph Bordes",14 avril 1761
13780,"Joseph, Xavier Van Merris-Hynderick",11 avril 1761
13781,"Jacques, Pierre Waelterlé",4 avril 1761
13782,Marcelin Moulin,3 avril 1761
13783,"François, Louis, Charles de Ricard",2 avril 1761
13784,"Jean-Baptiste,Augustin, Prosper Mennesson",1er avril 1761
13785,"Claude, René, César de Courtarvel de Pézé",1er avril 1761
13786,"Marie, Pierre, Adrien Francastel",30 mars 1761
13787,"Jacques, Louis Dufeu",29 mars 1761
13788,Pierre Basterrêche,27 mars 1761
13789,"François, Jean-Marie Varin de la Guerche",27 mars 1761
13790,"Charles, Antoine Saladin",24 mars 1761
13791,"Jacques, Charles, Gabriel Delahaye",24 mars 1761
13792,"François, Ignace, Félix, Joseph Metz",24 mars 1761
13793,"Jean, Joseph, Joachim Janod",22 mars 1761
13794,"Nicolas, Thérèse, Benoît Frochot",20 mars 1761
13795,"Sixte, François, Joseph Deusy",19 mars 1761
13796,"Claude, Simon Amat",18 mars 1761
13797,"Jean, Pascal Rouyer",12 mars 1761
13798,"Antoine, François Andréossy",6 mars 1761
13799,"Jean-Jacques, Benoît Gonneau",2 mars 1761
13800,"Jean-Baptiste, Charles Castel",1er mars 1761
13801,"François, Régis, Benjamin Devinck-Thiery",1er mars 1761
13802,Jean-François Leterme-Saulnier,28 février 1761
13803,"Joseph, Antoine, Sébastien Guiter",23 février 1761
13804,"Louis, Benjamin Fleuriau de Bellevue",23 février 1761
13805,"Antoine, Jacques, Claude, Joseph Boulay de la Meurthe",19 février 1761
13806,Henri Bouchard,18 février 1761
13807,Jean-Charles Pichegru,16 février 1761
13808,"René, Mathurin, Charles, François Robert",10 février 1761
13809,"Jacques, Jean, Louis Pierron",8 février 1761
13810,"Pierre, Joseph, François Cavalli-Doliva",6 février 1761
13811,Théophile Berlier,1er février 1761
13812,Joseph Falatieu,26 janvier 1761
13813,"Louis, Léonard Michelet de Villemonteil",25 janvier 1761
13814,"Régis, Parfait, Chrétien Merlin de Beaugrenier",24 janvier 1761
13815,"Claude, Marie, Joseph Philippe",23 janvier 1761
13816,"Louis, Toussaint, Cécile Bernier",20 janvier 1761
13817,Auguste Van Ruymbeke,20 janvier 1761
13818,Jean-Marie Leblanc,19 janvier 1761
13819,"Pierre, Marie, Auguste Broussonet",19 janvier 1761
13820,Nicolas Galmiche,18 janvier 1761
13821,"Joseph, Henri Lacombe",16 janvier 1761
13822,"Piat, Alexandre, Joseph Desmoutier",12 janvier 1761
13823,"Pierre, Augustin, Laurent Debray",12 janvier 1761
13824,"Charles, Henri, Félicité de Sapinaud de la Rairie",31 décembre 1760
13825,"Pierre, Louis Duprat",30 décembre 1760
13826,"François, Xavier Baudot",29 décembre 1760
13827,Etienne Sengez,26 décembre 1760
13828,"Emmanuel, Guillaume Chazot",25 décembre 1760
13829,Jean Duprat,22 décembre 1760
13830,"Josse, Léonard Maès",20 décembre 1760
13831,François Pierrot,19 décembre 1760
13832,Augustin Loubens,16 décembre 1760
13833,Claude Lombard,15 décembre 1760
13834,"Joseph, Jean-Baptiste Levallois",14 décembre 1760
13835,"Louis, Christophe Lemoro de Lafaye",14 décembre 1760
13836,"Pierre, Joseph Belin",11 décembre 1760
13837,"Charles, Joseph Delerue",7 décembre 1760
13838,"Nicolas, Joseph Pougny",6 décembre 1760
13839,"Jean, Antoine, Joseph Debry ou de Bry",25 novembre 1760
13840,"Claude, Henri, Etienne Bernard de Sassenay",25 novembre 1760
13841,"Nicolas, Joseph Marey-Monge",22 novembre 1760
13842,Isaac Bertrand,17 novembre 1760
13843,"Louis, Joseph Charles",17 novembre 1760
13844,"Clet, Marie Chiron",13 novembre 1760
13845,"Jacques, Joseph Foubert",13 novembre 1760
13846,"Louis, Maxime Raybaud",5 novembre 1760
13847,"Dominique, Vincent Ramel-Nogaret",3 novembre 1760
13848,"Michel, Louis, Etienne Regnaud de Saint-Jean-d'Angely",3 novembre 1760
13849,"Henri, Joseph, Aimé Gosse de Gorre",2 novembre 1760
13850,"Auguste, François Brohon",31 octobre 1760
13851,"Ange, Marie Chiappe",29 octobre 1760
13852,"Alexandre, Théodore, Victor de Lameth",28 octobre 1760
13853,Joseph Provensal de Lompré,24 octobre 1760
13854,"Gilles, François Sébire",20 octobre 1760
13855,"Jacques, Christophe, Luc Mariette",18 octobre 1760
13856,"Edme, Louis, Barthélemy Bailly de Juilly",16 octobre 1760
13857,"Charles, Henry Dambray",11 octobre 1760
13858,"Pierre, Charles, Daniel, Gustave Dechézeaux",8 octobre 1760
13859,"François, Siméon Bézard",8 octobre 1760
13860,Jean-Pierre Ramel,3 octobre 1760
13861,"Louis, Etienne Bidault",3 octobre 1760
13862,"Frédéric, Marie, Dominique, Michel Zaccaléoni",28 septembre 1760
13863,"Etienne, Louis Bezout",26 septembre 1760
13864,"Bernard, Marie Sage",26 septembre 1760
13865,Jean Dissandes-Monlevade,26 septembre 1760
13866,"Jean, Henri, François, Cyprien de Trenqualye de Maignan",26 septembre 1760
13867,Louis Becquey,24 septembre 1760
13868,René Doche-Delisle,21 septembre 1760
13869,"Pierre, Jean, Joseph Dubruel",16 septembre 1760
13870,"François, Sébastien, Christophe Delaporte dit Laporte",15 septembre 1760
13871,"Louis, Charles, Etienne Lemaistre",14 septembre 1760
13872,"Auguste, Joseph Baude de la Vieuville",11 septembre 1760
13873,Nicolas Haussmann,8 septembre 1760
13874,Jean-Pierre Gayet,7 septembre 1760
13875,"Charles, François Leblanc",5 septembre 1760
13876,"Pierre, Jacques, Augustin Berquier-Neuville",4 septembre 1760
13877,"Ennemond, Alexandre Petitot de Montlouis",1er septembre 1760
13878,Jean Ballet,30 août 1760
13879,"Marc, Antoine Sartre",25 août 1760
13880,"Barthélemy, Fleury Delhorme",24 août 1760
13881,"Jean-Jacques, Louis Calvet",19 août 1760
13882,"Pierre, Charles Gallet",17 août 1760
13883,"Jean-Baptiste, Marie, Auguste Bresson",15 août 1760
13884,"Louis, François, Gabriel, Joseph Mouton de Harchies",9 août 1760
13885,"Claude, Louis Bonne",7 août 1760
13886,"Louis, Thomas, Antoine Amy",29 juillet 1760
13887,"François, Michel Lantrac",25 juillet 1760
13888,"Etienne, Jacques Servière",25 juillet 1760
13889,"Antoine, Julien, Félix Moretti",18 juillet 1760
13890,"Charles, François Bouteillier",18 juillet 1760
13891,"Nicolas, Joseph Bucquet",18 juillet 1760
13892,"Jean, Etienne, Eléonore Cassaing",18 juillet 1760
13893,"Jean-Louis, François Godart",15 juillet 1760
13894,"Hubert, Michel, François Vaillant",15 juillet 1760
13895,"François, Alexandre, Léonor Le Jolis de Villiers",13 juillet 1760
13896,"Louis, Ferdinand Bonnet",10 juillet 1760
13897,François Paigis,7 juillet 1760
13898,Simon Camboulas d'Esparou,2 juillet 1760
13899,"Jacques, Guillaume Meyer",1er juillet 1760
13900,"François, Firmin Rouyer",30 juin 1760
13901,"Charles, Pierre Amelot",29 juin 1760
13902,"Jean, Nicolas Derazey",21 juin 1760
13903,"Jean-François, Joseph Marcorelle",21 juin 1760
13904,Abraham Van Doorn Van Der Boede,17 juin 1760
13905,"Nicolas, Marie Leroy",13 juin 1760
13906,Jean-Baptiste Louvet de Couvray,12 juin 1760
13907,"Joseph, Marie Mévolhon",11 juin 1760
13908,"Alexandre, Claude Payn",6 juin 1760
13909,"Mathieu, Louis Hocquart",4 juin 1760
13910,"Félix, Guillaume Gédouin",30 mai 1760
13911,"Louis, Michel Lepeletier de Saint-Fargeau",29 mai 1760
13912,Jean-Louis Admyrauld,29 mai 1760
13913,"André, Didier Béchade",24 mai 1760
